caseid,gender,race,weights,weights_trim
1,0,1,0.780599540896332,0.780599540896332
2,0,1,0.780599540896332,0.780599540896332
3,0,1,0.780599540896332,0.780599540896332
4,0,1,0.780599540896332,0.780599540896332
5,0,1,0.780599540896332,0.780599540896332
6,0,1,0.780599540896332,0.780599540896332
7,0,1,0.780599540896332,0.780599540896332
8,0,1,0.780599540896332,0.780599540896332
9,0,1,0.780599540896332,0.780599540896332
10,0,2,0.702259194048119,0.702259194048119
11,0,1,0.780599540896332,0.780599540896332
12,0,3,0.895093326000666,0.895093326000666
13,0,3,0.895093326000666,0.895093326000666
14,1,1,1.31241002998477,1.31241002998477
15,1,1,1.31241002998477,1.31241002998477
16,1,1,1.31241002998477,1.31241002998477
17,1,1,1.31241002998477,1.31241002998477
18,1,1,1.31241002998477,1.31241002998477
19,1,3,1.50490667399933,1.50490667399933
20,1,3,1.50490667399933,1.50490667399933
21,0,1,0.780599540896332,0.780599540896332
22,0,1,0.780599540896332,0.780599540896332
23,0,2,0.702259194048119,0.702259194048119
24,0,1,0.780599540896332,0.780599540896332
25,0,1,0.780599540896332,0.780599540896332
26,0,1,0.780599540896332,0.780599540896332
27,0,1,0.780599540896332,0.780599540896332
28,1,2,1.18069760694386,1.18069760694386
29,0,1,0.780599540896332,0.780599540896332
30,0,2,0.702259194048119,0.702259194048119
31,0,2,0.702259194048119,0.702259194048119
32,0,3,0.895093326000666,0.895093326000666
33,0,3,0.895093326000666,0.895093326000666
34,1,1,1.31241002998477,1.31241002998477
35,1,1,1.31241002998477,1.31241002998477
36,1,1,1.31241002998477,1.31241002998477
37,1,2,1.18069760694386,1.18069760694386
38,1,1,1.31241002998477,1.31241002998477
39,1,3,1.50490667399933,1.50490667399933
40,1,3,1.50490667399933,1.50490667399933
41,0,1,0.780599540896332,0.780599540896332
42,0,1,0.780599540896332,0.780599540896332
43,0,1,0.780599540896332,0.780599540896332
44,1,2,1.18069760694386,1.18069760694386
45,0,1,0.780599540896332,0.780599540896332
46,0,2,0.702259194048119,0.702259194048119
47,0,1,0.780599540896332,0.780599540896332
48,0,1,0.780599540896332,0.780599540896332
49,0,1,0.780599540896332,0.780599540896332
50,0,1,0.780599540896332,0.780599540896332
51,0,1,0.780599540896332,0.780599540896332
52,0,3,0.895093326000666,0.895093326000666
53,0,3,0.895093326000666,0.895093326000666
54,1,1,1.31241002998477,1.31241002998477
55,1,1,1.31241002998477,1.31241002998477
56,1,1,1.31241002998477,1.31241002998477
57,0,2,0.702259194048119,0.702259194048119
58,1,2,1.18069760694386,1.18069760694386
59,1,3,1.50490667399933,1.50490667399933
60,1,3,1.50490667399933,1.50490667399933
61,0,1,0.780599540896332,0.780599540896332
62,0,1,0.780599540896332,0.780599540896332
63,0,1,0.780599540896332,0.780599540896332
64,0,1,0.780599540896332,0.780599540896332
65,0,1,0.780599540896332,0.780599540896332
66,0,1,0.780599540896332,0.780599540896332
67,0,1,0.780599540896332,0.780599540896332
68,1,2,1.18069760694386,1.18069760694386
69,0,1,0.780599540896332,0.780599540896332
70,0,1,0.780599540896332,0.780599540896332
71,0,1,0.780599540896332,0.780599540896332
72,0,3,0.895093326000666,0.895093326000666
73,0,3,0.895093326000666,0.895093326000666
74,1,1,1.31241002998477,1.31241002998477
75,1,1,1.31241002998477,1.31241002998477
76,1,1,1.31241002998477,1.31241002998477
77,1,1,1.31241002998477,1.31241002998477
78,1,1,1.31241002998477,1.31241002998477
79,1,3,1.50490667399933,1.50490667399933
80,1,3,1.50490667399933,1.50490667399933
81,0,1,0.780599540896332,0.780599540896332
82,0,1,0.780599540896332,0.780599540896332
83,0,1,0.780599540896332,0.780599540896332
84,0,1,0.780599540896332,0.780599540896332
85,0,1,0.780599540896332,0.780599540896332
86,0,1,0.780599540896332,0.780599540896332
87,0,1,0.780599540896332,0.780599540896332
88,0,1,0.780599540896332,0.780599540896332
89,0,1,0.780599540896332,0.780599540896332
90,0,2,0.702259194048119,0.702259194048119
91,1,2,1.18069760694386,1.18069760694386
92,0,3,0.895093326000666,0.895093326000666
93,0,3,0.895093326000666,0.895093326000666
94,1,1,1.31241002998477,1.31241002998477
95,1,1,1.31241002998477,1.31241002998477
96,1,1,1.31241002998477,1.31241002998477
97,1,1,1.31241002998477,1.31241002998477
98,1,1,1.31241002998477,1.31241002998477
99,1,3,1.50490667399933,1.50490667399933
100,1,3,1.50490667399933,1.50490667399933
